sample,year,cumulative_progress,progress_rate,bottleneck_stage
6,2039.0,45.12039833294998,3.9712293832049523,8.0
6,2040.0,49.13479545090464,4.01439711795466,8.0
6,2041.0,53.18370410644893,4.048908655544292,8.0
6,2042.0,57.25996612294079,4.076262016491861,8.0
6,2043.0,61.3577244800505,4.097758357109714,8.0
6,2044.0,65.47223513225927,4.114510652208765,8.0
6,2045.0,69.59969265911315,4.1274575268538705,8.0
6,2046.0,73.73707292407157,4.137380264958417,8.0
6,2047.0,77.88199426607898,4.144921342007406,8.0
6,2048.0,82.03259744444595,4.150603178366973,8.0
6,2049.0,86.18744359983607,4.154846155390121,8.0
6,2050.0,90.34542885322149,4.157985253385423,8.0
7,2024.0,1.0,1.0,7.0
7,2025.0,2.2737840390062742,1.2737840390062742,7.0
7,2026.0,3.817754758598904,1.5439707195926298,7.0
7,2027.0,5.626018506050638,1.8082637474517336,7.0
7,2028.0,7.690654181678631,2.0646356756279927,7.0
7,2029.0,10.001992792792201,2.3113386111135696,7.0
7,2030.0,12.548902276685748,2.5469094838935473,7.0
7,2031.0,15.319072182883271,2.7701699061975242,7.0
7,2032.0,18.29929298577129,2.9802208028880215,7.0
7,2033.0,21.475725126840246,3.176432141068955,7.0
7,2034.0,24.834153348750785,3.3584282219105384,7.0
7,2035.0,28.360222463335766,3.5260691145849825,7.0
7,2036.0,32.039651369435184,3.6794289060994148,7.0
7,2037.0,35.85842287723419,3.8187715077990054,7.0
7,2038.0,39.80294767407083,3.9445247968366357,7.0
7,2039.0,43.835986020857305,4.033038346786478,8.0
7,2040.0,47.90206400492532,4.066077984068016,8.0
7,2041.0,51.9942427516693,4.0921787467439765,8.0
7,2042.0,56.106842968314815,4.112600216645521,8.0
7,2043.0,60.2352665889647,4.128423620649885,8.0
7,2044.0,64.37583170690566,4.140565117940961,8.0
7,2045.0,68.52562263139944,4.149790924493791,8.0
7,2046.0,72.68235611527577,4.156733483876327,8.0
7,2047.0,76.84426408453608,4.161907969260311,8.0
7,2048.0,81.00999258679201,4.165728502255931,8.0
7,2049.0,85.17851617759028,4.168523590798273,8.0
7,2050.0,89.34906658933157,4.170550411741295,8.0
8,2024.0,1.0,1.0,7.0
8,2025.0,2.3793938665808305,1.3793938665808307,7.0
8,2026.0,4.149517772743747,1.770123906162916,7.0
8,2027.0,6.144882873841869,1.9953651010981226,8.0
8,2028.0,8.30419735887337,2.1593144850315014,8.0
8,2029.0,10.605191197569468,2.3009938386960966,8.0
8,2030.0,13.027616627060546,2.422425429491077,8.0
8,2031.0,15.553239239221256,2.5256226121607095,8.0
8,2032.0,18.165797299503485,2.612558060282229,8.0
8,2033.0,20.850932604867484,2.6851353053640006,8.0
8,2034.0,23.59609686064178,2.7451642557742946,8.0
8,2035.0,26.390438042958436,2.7943411823166557,8.0
8,2036.0,29.224671497821408,2.8342334548629715,8.0
8,2037.0,32.09094060469372,2.8662691068723096,8.0
8,2038.0,34.98267170859893,2.89173110390521,8.0
8,2039.0,37.89442771834973,2.9117560097508024,8.0
8,2040.0,40.82176430769172,2.9273365893419876,8.0
8,2041.0,43.76109207649166,2.939327768799935,8.0
8,2042.0,46.70954737097527,2.9484552944836175,8.0
8,2043.0,49.66487376748085,2.9553263965055736,8.0
8,2044.0,52.62531553389293,2.9604417664120817,8.0
8,2045.0,55.589523733298684,2.9642081994057516,8.0
8,2046.0,58.55647505540618,2.9669513221075015,8.0
8,2047.0,61.525402974723384,2.968927919317205,8.0
8,2048.0,64.495740453382,2.970337478658611,8.0
8,2049.0,67.4670731349348,2.9713326815528007,8.0
8,2050.0,70.43910180956759,2.972028674632801,8.0
9,2024.0,1.0,1.0,7.0
9,2025.0,2.2701135310391956,1.2701135310391956,7.0
9,2026.0,3.8082062242793455,1.5380926932401502,7.0
9,2027.0,5.610202550659081,1.8019963263797356,7.0
9,2028.0,7.67027672536226,2.0600741747031797,7.0
9,2029.0,9.981051699583661,2.310774974221401,7.0
9,2030.0,12.533803152806813,2.5527514532231526,7.0
9,2031.0,15.318665379990449,2.784862227183636,7.0
9,2032.0,18.324836018526483,3.006170638536032,7.0
9,2033.0,21.54077667848177,3.215940659955288,7.0
9,2034.0,24.95440672312203,3.41363004464026,7.0
9,2035.0,28.55328768952024,3.598880966398207,7.0
9,2036.0,32.32479613365123,3.7715084441309905,7.0
9,2037.0,36.25628302150604,3.9314868878548084,7.0
9,2038.0,40.33521815676852,4.07893513526248,7.0
9,2039.0,44.54931852485436,4.214100368085841,7.0
9,2040.0,48.88665983048631,4.33734130563195,7.0
9,2041.0,53.33577089933124,4.4491110688449265,7.0
9,2042.0,57.88571099191038,4.549940092579139,7.0
9,2043.0,62.52613042933838,4.640419437428002,7.0
9,2044.0,67.2473152461667,4.721184816828324,7.0
9,2045.0,72.04021685816167,4.792901611994959,7.0
9,2046.0,76.89646795669381,4.856251098532141,7.0
9,2047.0,81.80838601315725,4.911918056463428,7.0
9,2048.0,86.76896589526226,4.960579882105002,7.0
9,2049.0,91.77186316304709,5.00289726778483,7.0
9,2050.0,96.81136962885914,5.039506465812055,7.0
10,2024.0,1.0,1.0,7.0
10,2025.0,2.2524787612685424,1.2524787612685426,7.0
10,2026.0,3.7399414033570637,1.4874626420885213,7.0
10,2027.0,5.444414441410261,1.7044730380531972,7.0
10,2028.0,7.347708531197256,1.903294089786995,7.0
10,2029.0,9.431674799912228,2.0839662687149727,7.0
10,2030.0,11.678448057588874,2.2467732576766446,7.0
10,2031.0,14.070670701022381,2.392222643433508,7.0
10,2032.0,16.591691912389464,2.521021211367084,7.0
10,2033.0,19.225737781531933,2.63404586914247,7.0
10,2034.0,21.9580491912415,2.7323114097095664,7.0
10,2035.0,24.77498563303127,2.8169364417897724,7.0
10,2036.0,27.664094492488907,2.889108859457635,7.0
10,2037.0,30.614146680958346,2.9500521884694395,7.0
10,2038.0,33.61514071932358,3.0009940383652287,7.0
10,2039.0,36.65827843392252,3.04313771459894,7.0
10,2040.0,39.73591625158427,3.077637817661749,7.0
10,2041.0,42.84149664548049,3.10558039389622,7.0
10,2042.0,45.9694645707773,3.127967925296806,7.0
10,2043.0,49.115173744131745,3.1457091733544496,7.0
10,2044.0,52.27478738793949,3.159613643807748,7.0
10,2045.0,55.445177618718404,3.1703902307789105,7.0
10,2046.0,58.62382706026773,3.1786494415493283,7.0
10,2047.0,61.80873556357702,3.184908503309287,7.0
10,2048.0,64.99833417491502,3.1895986113379937,7.0
10,2049.0,68.19140776487153,3.193073589956517,7.0
10,2050.0,71.38702705971887,3.1956192948473405,7.0
11,2024.0,1.0,1.0,7.0
11,2025.0,2.505316097682339,1.505316097682339,7.0
11,2026.0,4.453368383910829,1.9480522862284892,8.0
11,2027.0,6.739313839213672,2.2859454553028433,8.0
11,2028.0,9.335440625404907,2.5961267861912356,8.0
11,2029.0,12.211466736569484,2.8760261111645775,8.0
11,2030.0,15.336078543849943,3.1246118072804587,8.0
11,2031.0,18.67819174544527,3.342113201595329,8.0
11,2032.0,22.207935535184806,3.529743789739534,8.0
11,2033.0,25.897373392462384,3.689437857277579,8.0
11,2034.0,29.7209840596144,3.8236106671520136,8.0
11,2035.0,33.655933591133255,3.934949531518859,8.0
11,2036.0,37.682173693233615,4.02624010210036,8.0
11,2037.0,41.782403050471785,4.100229357238172,8.0
11,2038.0,45.94192731244688,4.159524261975095,8.0
